#,Category,Number of Outlet,Remarks,Group Name/Voucher Name,Length,Merchant Name (Tag),Redemption Type  (Tag),Category,Voucher Type,Require daily cap?,Daily Cap Quantity,Require per user limit?,Per user limit Quantity,Total # of Codes,Campaign Start Date,Campaign End Date,Voucher Expiry Date,Promo Code,Description in Goods,Terms and Conditions in Goods,internal url,CRM Offer Name (Prepaid),CRM Offer Name (Postpaid),CRM Offer ID (Postpaid),CRM Offer ID (Postpaid),In App Thumbnail ,,
,,No of Outlets,,"Appear as the title of the rewards in Rewards Section
Not more than 43 characters. To Appear in MyRewards",,,,Category,,"only allow x number of ""get reward""",,only allow X time per user,,total code for promo period,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,MM-DD-YYYY HH:MM,,This can be as descriptive as you want,standard T&C to be included,Do we don’t allow bringing user to external party at the moment.,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Applicable for Superdeals only. ,Key in Y if partner provide the thumbnail .,,
32,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Selectiv’ by SASA: Get RM30 Off,31,"Selectiv’ by SASA
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
RM30 Off with purchase of RM50 on SASA exclusive brand","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: G-17 & 18, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
While stock last
Terms and Conditions apply
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
33,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,G.O.R Laser Tag: Enjoy FREE 1 Game,34,"G.O.R Laser Tag
",offline,CAT=TRAVEL,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
FREE 1 Game with purchase of 3 Games","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 4-40, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Not valid with other offers or promotions
Terms and Conditions apply
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
34,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Modeno Signature: Get 10% Off,29,"Modeno Signature
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Enjoy 10% Off
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 3-29, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Not valid with other offers or promotions
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
35,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Budget Guitar Shop: Get 5% discount,35,"Budget Guitar Shop
",offline,CAT=OTHERS,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
5% discount Storewide
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 5-01, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Excluding beginner package
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
36,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Carlo Rino: Get 10% discount,28,"Carlo Rino
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
10% discount on normal priced and 10% discounted items","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: G-51, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
37,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,House California: Get FREE 30000mAh Power bank,46,"House California
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
1. FREE 30000mAh Power bank with purchase of RM299 & above
2. Buy 2 and get RM10 off for any normal price case

","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 2-13A, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Applicable only on normal price item in a single receipt
While stock last
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
38,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,iMax Smart Outlet: Get FREE Data USB Cable,42,"iMax Smart Outlet
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
FREE Data USB Cable (Android/ Apple/Type-C) with purchase of RM50 & above in a single receipt
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 4-03A, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
While stock last
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
39,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Pierre Cardin Lingerie: Get 5% Off,34,"Pierre Cardin
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
5% Off on total bill
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 1-09, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Not applicable on other promotional items
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
40,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Hush Puppies Footwear: Get RM50 gift voucher,44,"Hush Puppies
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
RM50 gift voucher with minimum purchase of RM250
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 1-13A & 15, Aman Central, Alor Setar
Limited to 1 redemption per Digi user
Present this e-voucher at counter to enjoy the offer
While stock last
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
41,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Obermain: Get RM50 gift voucher,31,"Obermain
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
RM50 gift voucher with minimum purchase of RM250
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 1-16, Aman Central, Alor Setar
Limited to 1 redemption per Digi user
Present this e-voucher at counter to enjoy the offer
While stock last
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
42,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,AEON Wellness: Enjoy Buy 1 FREE 1,33,AEON Wellness,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Buy 1 FREE 1 (washable place mat)
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: LG-16 & 17, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
While stock last
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
43,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Young Heart: Get 20% Off,24,Young Heart,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
20% Off on normal price items
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 1-45, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Not valid with other promotions, offers & discounts
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
44,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Squid Boy: Enjoy Free ONE signature drink,41,Squid Boy,offline,CAT=F&B,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Free ONE signature drink with purchase of any squid or chicken series entities
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: LG-K15, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Not valid with other promotions, offers & discounts
Available on weekdays only (Sunday - Thursday) excluding public holiday
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
45,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,SHINS: Get FREE Celeb Beaute Celeb Nail,39,SHINS,offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
FREE Celeb Beaute Celeb Nail (worth RM29.80) with purchase of RM100 and above
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: G-03, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
46,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,THE BODY SHOP: Get FREE Lip & Cheek Stain Pink Rose,51,THE BODY SHOP,offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
FREE Lip & Cheek Stain Pink Rose with purchase of RM150 and above
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: G-45, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Not valid with any other ongoing discounts, vouchers, and offers
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
47,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Factory Direct: Get 20% Off on all items,40,Factory Direct,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
20% Off on all items
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 3-47, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Not valid with other promotions, offers & discounts
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
48,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,DEELAMO: Get FREE Hairspray,27,DEELAMO,offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
FREE Hairspray with any machine purchase above RM100
","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 3-K07, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
49,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Sense 3 Hair Studio: Get RM49 Special Offer,43,"Sense 3 Hair Studio
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Get RM49 Special Offer when you purchase any of below;
• Wash & blow
• Hair Treatment
• Haircut (Female)","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 4-13, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Applicable on Normal price items only (RM130+)
Not valid with other promotions, offers & discounts
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
50,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Cars International: Get RM80 Package,36,"Cars International
",offline,CAT=OTHERS,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
RM80 Package for Polish + Hard Wax + OTIO-sterilising treatment","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: LGM-CW, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Deal must be present before purchase
Not valid with other promotions, offers & discounts
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
51,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,CHi Fitness: Enjoy 1 Day FREE Trial,35,"CHi Fitness
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
1 Day FREE Trial","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 4-33, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
52,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Thunder Match Mobile: Get 50% Off,33,"Thunder Match Mobile
",offline,CAT=DIGITAL,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
50% Off on selected item","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 2-33A, Aman Central, Alor Setar
The above prices shown are included 6% GST
Limited to 1 redemption per Digi user, while stock last
Present this e-voucher at counter to enjoy the offer
Not valid for any other promotions or discounts
Voucher is not refundable and exchangeable for cash
Images shown are for illustration purpose only
Thunder Match Technology reserves the right to add, remove or change any Terms and Conditions without prior notice
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
53,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Shanghai Time: Get Up to 25% off,32,"Shanghai Time
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Up to 25% off on selected brand","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: G-40, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
54,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,"YFS Concept Store: Get Purchase With Purchase at RM1
",53,"YFS Concept Store
",offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Purchase With Purchase at RM1 on selected items.
Applicable for purchase of RM150 and above in a single receipt","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 2-26 & 27, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
55,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Yun Nam Hair Care: Get FREE Hair Care Treatment or 10% off,58,"Yun Nam Hair Care
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
New Customer: Get a FREE Hair Care Treatment + 1 Hair Care Kit 
Existing Customer: Get 10% discount upon signing up for a package","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 3-32, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For new customers, applicable for customers aged 21 years old & above with hair problems
Visible Results Guaranteed after 1 treatment. Individual results may vary
This promotion is non-exchangeable for cash and cannot be used with other promotions or offers
Product kit is redeemable after the first consultation and treatment session
Yun Nam Hair Care reserves the rights to amend any of the Terms and Conditions without prior notice. For enquiries, contact our HOTLINE at 603-27263232
For other Terms and Conditions refer to digi.my/rewardstnc",,,,,,Old,,
56,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,New York Skin Solutions: Get FREE Facial Package or 10% off,59,"New York Skin Solutions
",offline,CAT=BEAUTY,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
New Customer: FREE 1 Advanced Skin Analysis + 1 Customized Facial Treatment + 1 Set of Skin Care Products + 10% Discount upon signing up a full course
Existing Customer: 10% Discount upon signing up a full course","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 3-27, Aman Central, Alor Setar
For new customers, valid for customers aged 23 and above with skin problems only
Pre-booking of facial treatment appointment is compulsory. Please present Identity Card for registration purposes
A visit to our outlet requires a total of 3 hours, which includes consultation, skin analysis and a 90 minutes facial treatment
Guarantee results after first session. Individual results may vary
Not valid with other promotions or discounts
This offer is not transferable or exchangeable for cash or items. By redeeming this offer, all participants have given their consent that New York Skin Solutions are allowed to use their information for marketing purposes
New York Skin Solutions reserves the right to amend the Terms and Conditions without prior notice. For inquiries, please call our hotline 03-27775566
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
57,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,The Coffee Beans & Tea Leaf: Get RM11 on weekdays,49,The Coffee Beans & Tea Leaf,offline,CAT=F&B,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
RM11 for any 12oz Tea Latte on weekdays","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: G-62A, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
58,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,MOG: Additional RM100 off,25,MOG,offline,CAT=SHOPPING,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
Get additional RM100 off for purchase of Medicare Lens (RSP: RM480)","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 1-K01, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
Applicable to purchase at Retail Selling Price only
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
59,"Monthly Rewards
",1,End/expiry date extended fr 08/04/2018 to 08/05/2018,Like Ice: Get RM3 Off,21,"Like Ice
",offline,CAT=TRAVEL,"generic promo code
",No,Unlimited,Yes,1,"9,999",3/1/18 12:00 AM,5/8/18 11:59 PM,5/8/18 11:59 PM,DGAMAN,"MyDigi Reward:
RM3 Off and FREE 1 pair of sock on every entry","Terms and Conditions:
Valid from now till 8 May 2018
Valid at shop lot no: 2-K03-A, Aman Central, Alor Setar
Present this e-voucher at counter to enjoy the offer
For other Terms and Conditions refer to digi.my/rewardstnc
",,,,,,Old,,
60,"Monthly Rewards
",,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",KindMeal.my: Up To 60% Off,26,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy up to 60% off healthy meals at popular restaurants & cafes with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & proceed to Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
61,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Bindhu: 20% off,15,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off Indian, Malay & Chinese delicacies at Bindhu with KindMeal.my App
","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for ""Bindhu"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 87, Jalan SS14/1, 47500 Petaling Jaya, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
62,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Vegipai: 20% off,16,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off local, Western & Sze Chuan delights at Vegipai with KindMeal.my App
","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “Vegipai"" at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 37A, Jalan Desa Bakti, 58100 Taman Desa, Off Jln. Kelang Lama, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
63,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Kon Rak Pak: 20% off,20,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off authentic Thai cuisine at Kon Rak Pak with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “Kon Rak Pak” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: No 17-G, Jalan 17/56, 46400 Petaling Jaya, Selangor
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
64,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Brew Lodge: 25% off,19,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 25% off breakfasts, toasts & coffee at Brew Lodge with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “Brew Lodge” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 46, Jalan Bunga Tanjung 9B, 56100 Ampang, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
65,"Monthly Rewards
",1,"End date extended fr 31/03/2018 to  31/05/2018 
Exp date extended fr 31/03/2018 to 30/06/2018",Ruyi & Lyn: 20% off,19,KindMeal.my,online,CAT=F&B,"embedded promo code
",No,Unlimited,No,Unlimited,"9,999",2/1/18 12:00 AM,5/31/18 11:59 PM,6/30/18 11:59 PM,,"MyDigi Reward:
Enjoy 20% off contemporary asian cuisine at Ruyi & Lyn with KindMeal.my App","Terms and Conditions:
Valid from now till 30 June 2018
Download KindMeal.my app from App Store or Google Play
MyDigi app must be activated on the same phone for Digi Rewards discount
Login to KindMeal.my app & search for “Ruyi & Lyn” at Deals section
Tap “Get Free Coupon” to receive Digi Rewards discount coupon
Visit shop & activate coupon to redeem discount
Valid for selected meat-free & vegetarian items only
Refer to deal in KindMeal.my app for full details & terms
For more info, visit http://KindMeal.my/DigiRewards
Outlet address: 4th Floor, Bangsar Shopping Center, No. 285, Jalan Maarof, 59000 Bangsar, Kuala Lumpur
","Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,"Get Reward button link to:
http://KindMeal.my/AppDigi

online-www.KindMeal.my/DigiRewards",Y,,
